ID,Name,Sector,City,Funding Stage,International Presence,English Requirement,Score,Outreach_Week,Website_URL
1,Webhelp Morocco,BPO / Customer Experience,Casablanca,Subsidiary (Concentrix),"Global — serves EU, US, UK clients",Very High — English customer support,100,Week 1,https://www.wetech.ma/webhelp
2,Majorel Morocco,BPO / CX,Casablanca,Subsidiary (Teleperformance),Global — 30+ countries,Very High — multilingual support incl. English,100,Week 1,https://www.jardinmajorelle.com/en/
6,Sitel Morocco (Foundever),BPO / CX,Casablanca,Subsidiary (Foundever),"Global — US, EU, UK clients",Very High — native-level English support,100,Week 1,URL_NOT_FOUND
9,Fusion BPO Services Morocco,BPO / Customer Engagement,Casablanca,Subsidiary (Fusion BPO),"Global — US, EU, Asia",Very High — English-first operations,100,Week 1,URL_NOT_FOUND
11,Infomineo,Research & BPO,Casablanca,Growth (VC-backed),"Middle East, Europe, US",Very High — English-language research delivery,100,Week 1,URL_NOT_FOUND
26,Acticall Sitel Morocco,BPO / CX,Rabat,Subsidiary,Global,Very High — English support lines,100,Week 1,URL_NOT_FOUND
30,Arvato Morocco (Bertelsmann),BPO / SCM,Casablanca,Subsidiary (Bertelsmann),Global,Very High — English supply chain ops,100,Week 1,URL_NOT_FOUND
32,Accenture Morocco,IT Consulting / Tech,Casablanca,Subsidiary (Accenture),Global,Very High — English as working language,100,Week 1,URL_NOT_FOUND
33,CGI Morocco,IT Services / Consulting,Rabat,Subsidiary (CGI),"Global — US, EU, Asia",Very High — English technical consulting,100,Week 1,URL_NOT_FOUND
34,IBM Morocco,Technology / Services,Casablanca,Subsidiary (IBM),Global,Very High — English corporate language,100,Week 1,URL_NOT_FOUND
35,Atos Morocco,IT Services / Digital,Casablanca,Subsidiary (Atos/Eviden),Global,Very High — English tech delivery,100,Week 1,URL_NOT_FOUND
37,Sopra Banking Software Morocco,IT / Banking Software,Casablanca,Subsidiary (Sopra Steria),Global — banking sector,Very High — English software documentation,100,Week 1,URL_NOT_FOUND
40,xHub,Software Dev / Innovation,Casablanca,Growth,"Europe, US",Very High — English as primary work language,100,Week 1,URL_NOT_FOUND
53,DXC Technology Morocco,IT Services,Casablanca,Subsidiary (DXC),Global,Very High — English operations,100,Week 1,URL_NOT_FOUND
54,NTT Data Morocco,IT Services,Casablanca,Subsidiary (NTT),Global,Very High — English as corporate language,100,Week 1,URL_NOT_FOUND
62,SAP Morocco,Enterprise Software,Casablanca,Subsidiary (SAP),Global,Very High — English as working language,100,Week 1,URL_NOT_FOUND
63,Oracle Morocco,Cloud / Database,Casablanca,Subsidiary (Oracle),Global,Very High — English corporate,100,Week 1,URL_NOT_FOUND
64,Microsoft Morocco,Technology,Casablanca,Subsidiary (Microsoft),Global,Very High — English corporate,100,Week 1,URL_NOT_FOUND
67,Nuitée,Travel Tech / B2B,Casablanca,Series A ($48M) — Accel-led,Global — hotel distribution worldwide,"Very High — US/EU clients, English product",100,Week 1,URL_NOT_FOUND
82,Pactera EDGE Morooutreach preparation phase — ranking, scoring, and building outreach sequences.cco,AI / Data Services,Casablanca,Subsidiary,"Global — US, Asia, Europe",Very High — English data annotation,100,Week 1,URL_NOT_FOUND
165,Valeo Morocco,Auto Tech / Electronics,Tangier,Subsidiary (Valeo),Global — France HQ,Very High — English engineering,100,Week 1,URL_NOT_FOUND
188,Johnson & Johnson Morocco,Pharma / MedTech,Casablanca,Subsidiary (J&J),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
206,Ubisoft Morocco,Gaming / Tech,Casablanca,Subsidiary (Ubisoft),Global — France HQ,Very High — English game development,100,Week 1,URL_NOT_FOUND
208,Amazon Morocco,E-commerce / Tech,Casablanca,Subsidiary (Amazon),Global — US HQ,Very High — English corporate language,100,Week 1,URL_NOT_FOUND
209,Thales Morocco,Defense / Aerospace Tech,Casablanca,Subsidiary (Thales),Global — France HQ,Very High — English defense sector,100,Week 1,URL_NOT_FOUND
409,Continental Morocco,Auto Tech / Tires,Tangier,Subsidiary (Continental),Global — Germany HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
546,Zettabyte Labs,AI / Software Dev,Casablanca,Seed,"US, Europe clients",Very High — English AI dev,100,Week 1,URL_NOT_FOUND
560,Change.org Morocco Office,Social Impact Tech,Rabat,Subsidiary,Global — US HQ,Very High — English operations,100,Week 1,URL_NOT_FOUND
563,T-Systems Morocco,IT Services,Casablanca,Subsidiary (Deutsche Telekom),Global — Germany HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
569,Broadcom Morocco,Semiconductors / Software,Casablanca,Subsidiary (Broadcom),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
570,VMware Morocco,Virtualization / Cloud,Casablanca,Subsidiary (Broadcom),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
571,Red Hat Morocco,Open Source / Cloud,Casablanca,Subsidiary (IBM),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
572,Trend Micro Morocco,Cybersecurity,Casablanca,Subsidiary (Trend Micro),Global — Japan HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
573,Palo Alto Networks Morocco,Cybersecurity,Casablanca,Subsidiary,Global — US HQ,Very High — English corporate,100,Week 1,https://www.paloaltonetworks.com/
574,Fortinet Morocco,Cybersecurity,Casablanca,Subsidiary (Fortinet),Global — US HQ,Very High — English corporate,100,Week 1,https://www.fortinet.com/corporate/about-us/global-offices
575,Check Point Morocco,Cybersecurity,Casablanca,Subsidiary (Check Point),Global — Israel HQ,Very High — English corporate,100,Week 1,https://www.checkpoint.com/
576,Kaspersky Morocco,Cybersecurity,Casablanca,Subsidiary (Kaspersky),Global — Russia/UK HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
588,Wipro Morocco,IT Services,Casablanca,Subsidiary (Wipro),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
589,Infosys Morocco,IT Services,Casablanca,Subsidiary (Infosys),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
590,TCS Morocco (Tata Consultancy),IT Services,Casablanca,Subsidiary (TCS),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
591,Tech Mahindra Morocco,IT Services,Casablanca,Subsidiary (Tech Mahindra),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
592,Mindtree Morocco (LTIMindtree),IT Services,Casablanca,Subsidiary (LTI),Global — India HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
593,Cognizant Morocco,IT Services,Casablanca,Subsidiary (Cognizant),Global — US HQ,Very High — English corporate,100,Week 1,URL_NOT_FOUND
